cereal,January,February,March,April,May,June,July,August,September,October,November,December
Number of Reports,160,169,198,331,257,252,284,302,237,230,281,233
Amount Lost ($),120379,47926,37451,246201,199353,45578,61394,25550,13606,84728,413000,15035
